classification,Rf_ohm,Cpd_F,Cf_F,ft_Hz,f_Hz,magnitude_normalized_dB
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,20.3710247082484,-8.68578355934856e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,20.9840064955505,-8.68577973218387e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,21.6154334360517,-8.68577567174604e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,22.2658605603964,-8.68577136250923e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,22.9358596005824,-8.68576679049056e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,23.6260194925187,-8.68576193891056e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,24.3369468937061,-8.68575679118263e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,25.0692667164954,-8.68575132879151e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,25.8236226773916,-8.68574553302905e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,26.6006778628872,-8.68573938296913e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,27.4011153123219,-8.68573285720348e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,28.225638618281,-8.68572593268443e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,29.0749725450605,-8.68571858530355e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,29.9498636657421,-8.68571078931306e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,30.8510810184385,-8.6857025168436e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,31.7794167822859,-8.68569373915792e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,32.735686973777,-8.68568442510795e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,33.7207321640478,-8.68567454209908e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,34.7354182177487,-8.68566405570448e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,35.7806370541473,-8.68565292821858e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,36.8573074311352,-8.68564112126074e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,37.9663757528252,-8.68562859307518e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,39.1088169014498,-8.68561529968813e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,40.2856350942929,-8.68560119403992e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,41.4978647664067,-8.68558622694938e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,42.7465714798905,-8.68557034528152e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,44.0328528605307,-8.68555349349053e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,45.3578395626248,-8.68553561217325e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,46.722696262838,-8.68551663884062e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,48.1286226839656,-8.68549650647122e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,49.5768546495016,-8.68547514408984e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,51.0686651699397,-8.68545247638174e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,52.6053655617628,-8.68542842465703e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,54.1883066001032,-8.68540290328256e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,55.8188797060873,-8.68537582305716e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,57.4985181699092,-8.68534708841502e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,59.2286984107071,-8.68531659829359e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,61.0109412743503,-8.68528424642295e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,62.8468133702785,-8.68524991756481e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,64.737928448567,-8.68521349156275e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,66.6859488184295,-8.68517484093142e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,68.6925868094045,-8.68513382863851e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,70.7596062765099,-8.68509031157639e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,72.8888241506902,-8.685044135644e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,75.0821120359163,-8.6849951394113e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,77.3413978543444,-8.68494314997266e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,79.6686675409796,-8.68488798458618e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,82.0659667893319,-8.68482944951654e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,84.535402849602,-8.68476733820275e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,87.0791463809755,-8.6847014332832e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,89.6994333596537,-8.68463150206337e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,92.3985670442997,-8.68455729911946e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,95.1789200006259,-8.68447856301967e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,98.0429361869028,-8.68439501748142e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,100.993133102224,-8.68430636838191e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,104.032103999411,-8.68421230395095e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,107.162520164511,-8.6841124931316e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,110.387133264884,-8.68400658538733e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,113.708777767945,-8.68389420780899e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,117.130373432689,-8.68377496559696e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,120.654927876191,-8.68364843907174e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,124.285539217328,-8.68351418367393e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,128.025398800062,-8.6833717267819e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,131.877793998657,-8.68322056742255e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,135.846111107322,-8.68306017443899e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,139.933838316788,-8.68288998350116e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,144.144568780471,-8.68270939575572e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,148.482003772888,-8.68251777676529e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,152.949955943112,-8.68231445216894e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,157.552352666132,-8.68209870710359e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,162.293239495052,-8.6818697825395e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,167.176783717177,-8.68162687402668e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,172.207278017098,-8.68136912687316e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,177.389144250003,-8.68109563431277e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,182.726937328539,-8.68080543509431e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,188.225349226618,-8.68049750837053e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,193.889213103715,-8.68017077128731e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,199.723507553262,-8.67982407464416e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,205.733360978881,-8.679456199519e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,211.924056102306,-8.67906585167503e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,218.301034606942,-8.67865165876415e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,224.869901921166,-8.67821216396234e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,231.636432145553,-8.67774582143726e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,238.606573128367,-8.67725099162302e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,245.78645169378,-8.67672593379477e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,253.182379027416,-8.67616880182561e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,260.800856223941,-8.67557763598977e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,268.648580001594,-8.67495035794799e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,276.73244858867,-8.67428476120065e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,285.059567787131,-8.67357850481953e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,293.637257218679,-8.67282910486523e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,302.473056758774,-8.67203392686537e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,311.574733164265,-8.67119017318173e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,320.950286900444,-8.67029487722424e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,330.607959173538,-8.66934489014318e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,340.556239174811,-8.66833687099285e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,350.803871542649,-8.66726727467746e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,361.359864049185,-8.66613233989687e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,372.233495518222,-8.66492807516368e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,383.434323981411,-8.66365024501328e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,394.972195079861,-8.66229435611734e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,406.857250718553,-8.66085563944364e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,419.099937981178,-8.65932903588739e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,431.711018313229,-8.65770917650236e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,444.70157698142,-8.65599036466067e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,458.083032817747,-8.65416655503022e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,471.867148256757,-8.6522313338058e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,486.066039674844,-8.65017789614361e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,500.69218804067,-8.64799901896699e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,515.758449886061,-8.64568704071534e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,531.278068607024,-8.64323383038891e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,547.264686104832,-8.64063076035452e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,563.732354777388,-8.63786867587254e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,580.695549871426,-8.63493786394882e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,598.169182206399,-8.63182801640061e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,616.16861128124,-8.62852819764772e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,634.709658775514,-8.62502680189602e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,653.808622456835,-8.62131151620334e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,673.482290506772,-8.61736927409492e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,693.747956277823,-8.61318621149325e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,714.623433494451,-8.60874761772979e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,736.127071911523,-8.60403788279585e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,758.277773443936,-8.5990404435326e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,781.095008781584,-8.59373772480659e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,804.598834504296,-8.58811107837092e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,828.809910711765,-8.5821407161332e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,853.749519183995,-8.57580564149483e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,879.439582088187,-8.56908357538656e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,905.902681248554,-8.56195087738578e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,933.162077995969,-8.55438246355525e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,961.24173361491,-8.5463517167599e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,990.166330405668,-8.53783039495858e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1019.96129338035,-8.52878853014183e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1050.65281261168,-8.51919432389442e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1082.26786625442,-8.50901403553255e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1114.83424425933,-8.49821186262285e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1148.38057280092,-8.48674981667973e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1182.93633944007,-8.47458758738715e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1218.53191904393,-8.4616824028667e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1255.19860048572,-8.44798887875938e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1292.96861414799,-8.43345885708555e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1331.8751602534,-8.41804123922242e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1371.95243804812,-8.40168180470597e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1413.23567586324,-8.3843230203895e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1455.76116208088,-8.36590383957328e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1499.56627703202,-8.34635948541557e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1544.6895258542,-8.3256212250862e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1591.17057233791,-8.30361612675506e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1639.05027379149,-8.2802668030801e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1688.37071695505,-8.25549113965187e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1739.17525499523,-8.22920200588735e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1791.50854561301,-8.20130694943386e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1845.41659029828,-8.17170786897218e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1900.94677476563,-8.14030067149411e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,1958.14791060689,-8.10697490576132e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2017.07027819695,-8.07161337223476e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2077.7656708908,-8.034091713525e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2140.28744055033,-7.99427797475577e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2204.6905444412,-7.95203214059105e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2271.03159354083,-7.90720564323648e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2339.3689023,-7.85964083919685e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2409.76253990186,-7.80917045546507e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2482.27438306332,-7.75561700041732e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2556.96817042535,-7.69879214134324e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2633.90955857984,-7.6384960401252e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2713.16617978244,-7.57451665217755e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2794.80770140198,-7.50662898016024e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2878.90588715881,-7.43459428294876e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,2965.53466020579,-7.35815923465354e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3054.77016810753,-7.27705503716047e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3146.69084977484,-7.19099647153497e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3241.37750441334,-7.09968089648681e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3338.91336254676,-7.00278718483121e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3439.38415917744,-6.89997459380002e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3542.87820914821,-6.79088156544252e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3649.48648477208,-6.67512445788775e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3759.30269579777,-6.55229619541483e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3872.42337178157,-6.42196483549959e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,3988.94794693778,-6.28367205245254e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4108.97884754236,-6.13693152530553e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4232.62158196667,-5.98122722589763e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4359.98483342044,-5.81601160745084e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4491.18055548533,-5.64070367801427e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4626.3240705233,-5.45468695771749e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4765.53417104613,-5.25730731173406e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,4908.93322413522,-5.04787065008502e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5056.6472790035,-4.82564048859454e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5208.80617779395,-4.58983535711354e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5365.54366971215,-4.33962605655642e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5526.9975285932,-4.07413273881305e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5693.30967400627,-3.79242181870022e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,5864.62629600339,-3.49350268815776e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,6041.09798362191,-3.1763242366472e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,6222.87985725385,-2.8397711555773e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,6410.13170499823,-2.48266001798587e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,6603.01812311646,-2.10373511930772e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,6801.70866071408,-1.70166406322662e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,7006.37796877618,-1.27503307998559e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,7217.2059536873,-8.22342057008566e-06
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,7434.37793537105,-3.41999267666392e-06
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,7658.08481018811,1.67684223500466e-06
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,7888.5232187361,7.08500493845884e-06
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,8125.89571869863,1.28235106105398e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,8370.41096289554,1.89125356390527e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,8622.28388269085,2.53734885129795e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,8881.73587691961,3.22290850245758e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,9148.99500649964,3.95034280792036e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,9424.29619489944,4.72220923711157e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,9707.88143463827,5.54122141891666e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10000,6.41025867591111e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10300.9086661477,7.33237613285407e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10610.8719348317,8.31081544916879e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,10930.1622668892,9.34901619793486e-05
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11259.06032174,0.000104506279445774
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11597.8552040891,0.000116195230581817
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,11946.8447180528,0.000128598103060998
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,12306.3356289312,0.000141758492732482
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,12676.643932858,0.000155722656633071
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13058.0951345646,0.000170539675301447
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13451.0245335017,0.000186261624976212
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,13855.7775185714,0.000202943760284194
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,14272.7098717267,0.000220644708048504
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,14702.1880807082,0.000239426672884273
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,15144.5896611901,0.000259355655299941
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,15600.3034886204,0.000280501683108613
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,16069.7301400464,0.000302939056830308
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,16553.282246226,0.000326746610085881
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,17051.3848543338,0.000352007985797957
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,17564.4758015827,0.000378811929154704
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,18093.0061000866,0.000407252598382608
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,18637.4403333045,0.000437429894391335
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,19198.2570644148,0.000469449810409321
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,19775.9492569762,0.000503424802870923
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,20371.0247082484,0.000539474184747942
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,20984.0064955505,0.00057772454273178
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,21615.4334360517,0.000618310179748953
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,22265.8605603964,0.000661373584191613
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,22935.8596005824,0.000707065927598731
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,23626.0194925187,0.00075554759244353
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,24336.9468937061,0.000806988731797364
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,25069.2667164954,0.00086156986283766
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,25823.6226773916,0.000919482496160326
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,26600.6778628872,0.000980929803071488
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,27401.1153123219,0.00104612732311647
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,28225.638618281,0.00111530371419072
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,29074.9725450604,0.00118870154781801
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,29949.863665742,0.00126657815224069
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,30851.0810184385,0.00134920650612171
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,31779.4167822859,0.00143687618590415
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,32735.6869737769,0.00152989436990095
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,33720.7321640478,0.00162858690253461
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,34735.4182177487,0.00173329942214416
Safe,10000,1e-11,3.45510729459222e-12,1603718.74375133,35780.6370541473,0.00184439855616676
